"Date","Price","Open","High","Low","Change %"
"Dec 18, 2020","1,881.51","1,883.74","1,889.74","1,877.51","-0.23%"
"Dec 17, 2020","1,885.87","1,864.26","1,896.26","1,861.83","1.17%"
"Dec 16, 2020","1,864.15","1,853.94","1,866.20","1,844.75","0.58%"
"Dec 15, 2020","1,853.46","1,827.80","1,855.76","1,825.29","1.44%"
"Dec 14, 2020","1,827.17","1,839.30","1,839.86","1,819.92","-0.64%"
"Dec 11, 2020","1,839.03","1,835.55","1,847.89","1,824.23","0.20%"
"Dec 10, 2020","1,835.31","1,839.59","1,850.40","1,828.48","-0.21%"
"Dec 09, 2020","1,839.11","1,871.19","1,871.37","1,825.71","-1.72%"
"Dec 08, 2020","1,871.36","1,863.55","1,875.79","1,859.83","0.41%"
"Dec 07, 2020","1,863.69","1,837.99","1,868.76","1,822.99","1.42%"
"Dec 04, 2020","1,837.61","1,841.05","1,848.26","1,829.30","-0.15%"
"Dec 03, 2020","1,840.36","1,831.34","1,844.45","1,823.60","0.51%"
"Dec 02, 2020","1,831.01","1,815.19","1,832.65","1,806.99","0.89%"
"Dec 01, 2020","1,814.87","1,777.40","1,817.55","1,775.52","2.13%"
"Nov 30, 2020","1,777.02","1,789.05","1,789.99","1,764.69","-0.62%"
"Nov 27, 2020","1,788.13","1,811.09","1,813.81","1,773.93","-1.24%"
"Nov 26, 2020","1,810.57","1,805.74","1,818.78","1,805.31","0.29%"
"Nov 25, 2020","1,805.30","1,807.69","1,817.98","1,801.33","-0.12%"
"Nov 24, 2020","1,807.51","1,836.65","1,839.26","1,800.69","-1.54%"
"Nov 23, 2020","1,835.85","1,869.84","1,876.72","1,830.85","-1.85%"
"Nov 20, 2020","1,870.49","1,867.59","1,879.98","1,860.66","0.17%"
"Nov 19, 2020","1,867.37","1,871.44","1,874.34","1,852.48","-0.22%"
"Nov 18, 2020","1,871.41","1,878.60","1,884.92","1,863.94","-0.38%"
"Nov 17, 2020","1,878.60","1,889.15","1,893.90","1,877.69","-0.52%"
"Nov 16, 2020","1,888.52","1,888.74","1,899.35","1,864.74","0.03%"
"Nov 13, 2020","1,888.04","1,876.44","1,897.16","1,873.76","0.65%"
"Nov 12, 2020","1,875.76","1,865.30","1,883.88","1,862.46","0.59%"
"Nov 11, 2020","1,864.71","1,877.34","1,884.93","1,856.05","-0.63%"
"Nov 10, 2020","1,876.50","1,862.15","1,890.60","1,860.30","0.79%"
"Nov 09, 2020","1,861.86","1,954.65","1,965.92","1,850.36","-4.59%"
"Nov 06, 2020","1,951.51","1,949.24","1,960.77","1,935.40","0.15%"
"Nov 05, 2020","1,948.56","1,903.65","1,952.95","1,902.43","2.38%"
"Nov 04, 2020","1,903.21","1,908.59","1,916.68","1,883.15","-0.27%"
"Nov 03, 2020","1,908.36","1,895.80","1,910.71","1,886.81","0.70%"
"Nov 02, 2020","1,895.10","1,878.59","1,896.12","1,873.21","0.91%"
"Oct 30, 2020","1,877.95","1,868.24","1,889.85","1,864.64","0.58%"
"Oct 29, 2020","1,867.13","1,876.94","1,885.42","1,859.67","-0.53%"
"Oct 28, 2020","1,877.06","1,908.05","1,911.03","1,869.59","-1.56%"
"Oct 27, 2020","1,906.83","1,902.19","1,911.34","1,897.47","0.27%"
"Oct 26, 2020","1,901.69","1,902.34","1,908.55","1,890.90","0.05%"
"Oct 23, 2020","1,900.79","1,904.24","1,914.30","1,894.54","-0.17%"
"Oct 22, 2020","1,904.04","1,924.34","1,926.00","1,894.80","-1.06%"
"Oct 21, 2020","1,924.49","1,908.65","1,931.41","1,907.94","0.95%"
"Oct 20, 2020","1,906.39","1,904.24","1,914.20","1,894.74","0.11%"
"Oct 19, 2020","1,904.27","1,899.94","1,918.59","1,897.09","0.28%"
"Oct 16, 2020","1,898.97","1,907.95","1,914.06","1,897.59","-0.46%"
"Oct 15, 2020","1,907.82","1,900.31","1,909.22","1,889.46","0.36%"
"Oct 14, 2020","1,900.89","1,891.90","1,913.03","1,882.44","0.53%"
"Oct 13, 2020","1,890.82","1,922.42","1,925.73","1,886.59","-1.62%"
"Oct 12, 2020","1,921.95","1,930.50","1,933.45","1,918.19","-0.39%"
"Oct 09, 2020","1,929.43","1,894.19","1,930.83","1,893.32","1.92%"
"Oct 08, 2020","1,893.09","1,887.40","1,900.73","1,881.86","0.31%"
"Oct 07, 2020","1,887.22","1,878.84","1,898.31","1,873.05","0.54%"
"Oct 06, 2020","1,877.13","1,913.28","1,921.10","1,874.57","-1.87%"
"Oct 05, 2020","1,912.90","1,902.24","1,918.74","1,886.81","0.75%"
"Oct 02, 2020","1,898.70","1,905.65","1,917.28","1,889.57","-0.33%"
"Oct 01, 2020","1,905.05","1,885.80","1,912.09","1,884.48","1.04%"
"Sep 30, 2020","1,885.44","1,897.81","1,902.39","1,881.31","-0.65%"
"Sep 29, 2020","1,897.69","1,881.40","1,899.24","1,875.56","0.90%"
"Sep 28, 2020","1,880.85","1,859.00","1,883.39","1,849.19","1.12%"
"Sep 25, 2020","1,860.05","1,868.61","1,875.28","1,852.59","-0.43%"
"Sep 24, 2020","1,868.04","1,863.42","1,877.30","1,848.45","0.24%"
"Sep 23, 2020","1,863.55","1,900.20","1,905.56","1,855.77","-1.88%"
"Sep 22, 2020","1,899.28","1,912.80","1,919.99","1,894.93","-0.69%"
"Sep 21, 2020","1,912.57","1,949.55","1,955.75","1,883.21","-1.90%"
"Sep 18, 2020","1,949.69","1,943.87","1,960.20","1,941.79","0.37%"
"Sep 17, 2020","1,942.60","1,959.99","1,963.48","1,932.99","-0.85%"
"Sep 16, 2020","1,959.32","1,956.19","1,973.63","1,949.89","0.19%"
"Sep 15, 2020","1,955.52","1,957.31","1,972.35","1,948.64","-0.04%"
"Sep 14, 2020","1,956.37","1,941.05","1,962.52","1,937.46","0.77%"
"Sep 11, 2020","1,941.50","1,955.20","1,957.95","1,937.42","-0.64%"
"Sep 10, 2020","1,954.07","1,946.06","1,966.50","1,941.42","0.38%"
"Sep 09, 2020","1,946.66","1,932.26","1,950.95","1,920.20","0.81%"
"Sep 08, 2020","1,930.93","1,930.05","1,940.84","1,906.67","0.11%"
"Sep 07, 2020","1,928.82","1,931.24","1,941.44","1,924.57","-0.19%"
"Sep 04, 2020","1,932.45","1,931.51","1,942.25","1,916.67","0.10%"
"Sep 03, 2020","1,930.52","1,943.06","1,951.19","1,921.99","-0.62%"
"Sep 02, 2020","1,942.62","1,969.75","1,974.45","1,932.76","-1.40%"
"Sep 01, 2020","1,970.14","1,967.63","1,992.38","1,963.20","0.02%"
"Aug 31, 2020","1,969.75","1,965.40","1,976.47","1,954.58","0.27%"
"Aug 28, 2020","1,964.49","1,930.04","1,973.91","1,923.70","1.84%"
"Aug 27, 2020","1,928.91","1,953.31","1,976.60","1,910.22","-1.26%"
"Aug 26, 2020","1,953.45","1,929.07","1,954.98","1,902.77","1.32%"
"Aug 25, 2020","1,927.94","1,933.06","1,937.69","1,914.42","-0.23%"
"Aug 24, 2020","1,932.45","1,939.24","1,961.89","1,924.01","-0.36%"
"Aug 21, 2020","1,939.40","1,947.44","1,956.08","1,911.65","-0.16%"
"Aug 20, 2020","1,942.60","1,929.53","1,955.44","1,925.12","0.68%"
"Aug 19, 2020","1,929.54","2,001.19","2,006.68","1,924.82","-3.57%"
"Aug 18, 2020","2,000.95","1,985.89","2,015.45","1,977.84","0.73%"
"Aug 17, 2020","1,986.45","1,947.04","1,990.65","1,929.74","2.20%"
"Aug 14, 2020","1,943.76","1,953.70","1,962.84","1,932.65","-0.48%"
"Aug 13, 2020","1,953.03","1,920.90","1,966.43","1,912.93","1.84%"
"Aug 12, 2020","1,917.82","1,912.00","1,949.45","1,864.30","0.34%"
"Aug 11, 2020","1,911.25","2,027.34","2,032.19","1,901.69","-5.72%"
"Aug 10, 2020","2,027.26","2,034.19","2,050.01","2,019.41","-0.36%"
"Aug 07, 2020","2,034.62","2,065.11","2,073.41","2,015.55","-1.38%"
"Aug 06, 2020","2,063.19","2,040.40","2,069.77","2,034.71","1.17%"
"Aug 05, 2020","2,039.40","2,018.98","2,055.68","2,009.77","1.06%"
"Aug 04, 2020","2,018.07","1,976.99","2,019.88","1,968.50","2.06%"
"Aug 03, 2020","1,977.26","1,980.98","1,985.28","1,960.40","0.07%"
"Jul 31, 2020","1,975.90","1,960.51","1,980.45","1,955.40","0.79%"
"Jul 30, 2020","1,960.50","1,970.90","1,971.87","1,939.67","-0.52%"
"Jul 29, 2020","1,970.73","1,959.60","1,980.80","1,944.97","0.57%"
"Jul 28, 2020","1,959.51","1,942.64","1,981.22","1,907.70","0.88%"
"Jul 27, 2020","1,942.42","1,899.99","1,945.71","1,899.73","2.15%"
"Jul 24, 2020","1,901.46","1,887.34","1,906.54","1,881.56","0.74%"
"Jul 23, 2020","1,887.44","1,872.39","1,898.40","1,862.80","0.82%"
"Jul 22, 2020","1,872.07","1,842.20","1,872.64","1,840.75","1.62%"
"Jul 21, 2020","1,842.22","1,815.89","1,843.89","1,815.57","1.44%"
"Jul 20, 2020","1,816.09","1,809.58","1,820.73","1,805.60","0.34%"
"Jul 17, 2020","1,809.90","1,797.30","1,812.03","1,795.11","0.71%"
"Jul 16, 2020","1,797.05","1,811.90","1,813.74","1,795.02","-0.82%"
"Jul 15, 2020","1,811.90","1,807.80","1,814.79","1,802.72","0.23%"
"Jul 14, 2020","1,807.79","1,803.19","1,811.03","1,791.46","0.24%"
"Jul 13, 2020","1,803.39","1,799.01","1,813.45","1,798.01","0.25%"
"Jul 10, 2020","1,798.90","1,802.13","1,810.76","1,794.28","-0.24%"
"Jul 09, 2020","1,803.19","1,811.30","1,816.26","1,795.82","-0.42%"
"Jul 08, 2020","1,810.78","1,795.27","1,818.13","1,791.62","0.86%"
"Jul 07, 2020","1,795.26","1,783.91","1,797.59","1,773.79","0.64%"
"Jul 06, 2020","1,783.90","1,776.31","1,787.09","1,770.13","0.50%"
"Jul 03, 2020","1,775.05","1,774.77","1,777.43","1,772.48","-0.06%"
"Jul 02, 2020","1,776.14","1,769.60","1,779.83","1,757.68","0.33%"
"Jul 01, 2020","1,770.31","1,781.60","1,789.48","1,759.27","-0.64%"
"Jun 30, 2020","1,781.67","1,771.90","1,786.02","1,765.35","0.53%"
"Jun 29, 2020","1,772.28","1,773.74","1,775.72","1,765.78","0.05%"
"Jun 26, 2020","1,771.47","1,761.82","1,772.12","1,747.67","0.55%"
"Jun 25, 2020","1,761.81","1,760.32","1,769.04","1,755.49","-0.04%"
"Jun 24, 2020","1,762.43","1,768.99","1,779.61","1,760.80","-0.29%"
"Jun 23, 2020","1,767.54","1,755.26","1,771.25","1,747.43","0.69%"
"Jun 22, 2020","1,755.44","1,748.78","1,763.42","1,743.27","0.68%"
"Jun 19, 2020","1,743.61","1,723.69","1,745.36","1,721.18","1.20%"
"Jun 18, 2020","1,722.99","1,726.30","1,737.17","1,717.57","-0.23%"
"Jun 17, 2020","1,727.04","1,727.71","1,730.41","1,713.22","-0.02%"
"Jun 16, 2020","1,727.46","1,725.55","1,733.12","1,716.43","0.11%"
"Jun 15, 2020","1,725.53","1,732.32","1,734.53","1,704.31","-0.30%"
"Jun 12, 2020","1,730.80","1,728.34","1,743.16","1,722.57","0.19%"
"Jun 11, 2020","1,727.51","1,737.01","1,744.92","1,721.58","-0.55%"
"Jun 10, 2020","1,737.10","1,714.80","1,740.06","1,708.47","1.31%"
"Jun 09, 2020","1,714.57","1,700.49","1,721.04","1,692.20","0.98%"
"Jun 08, 2020","1,697.96","1,684.65","1,700.90","1,677.52","0.72%"
"Jun 05, 2020","1,685.83","1,711.81","1,717.25","1,670.74","-1.52%"
"Jun 04, 2020","1,711.83","1,699.89","1,721.62","1,696.90","0.78%"
"Jun 03, 2020","1,698.64","1,728.10","1,733.80","1,689.54","-1.70%"
"Jun 02, 2020","1,727.96","1,740.34","1,745.26","1,721.40","-0.71%"
"Jun 01, 2020","1,740.33","1,738.05","1,744.84","1,727.26","0.70%"
"May 29, 2020","1,728.30","1,721.70","1,737.71","1,712.53","0.52%"
"May 28, 2020","1,719.40","1,709.04","1,727.52","1,707.11","0.59%"
"May 27, 2020","1,709.26","1,712.47","1,716.37","1,693.82","-0.19%"
"May 26, 2020","1,712.45","1,728.82","1,736.07","1,708.30","-0.99%"
"May 25, 2020","1,729.57","1,734.61","1,736.01","1,721.45","-0.37%"
"May 22, 2020","1,736.07","1,725.26","1,740.07","1,723.62","0.56%"
"May 21, 2020","1,726.33","1,749.52","1,751.01","1,717.10","-1.32%"
"May 20, 2020","1,749.50","1,745.92","1,754.77","1,741.89","0.25%"
"May 19, 2020","1,745.11","1,732.31","1,748.76","1,725.66","0.74%"
"May 18, 2020","1,732.32","1,743.01","1,765.94","1,727.20","-0.61%"
"May 15, 2020","1,743.00","1,730.52","1,752.13","1,727.93","0.71%"
"May 14, 2020","1,730.65","1,715.63","1,737.41","1,710.51","0.85%"
"May 13, 2020","1,715.99","1,702.50","1,719.02","1,698.81","0.78%"
"May 12, 2020","1,702.72","1,697.04","1,711.79","1,693.17","0.32%"
"May 11, 2020","1,697.35","1,702.65","1,712.64","1,691.59","-0.31%"
"May 08, 2020","1,702.65","1,717.46","1,723.91","1,701.06","-0.89%"
"May 07, 2020","1,717.94","1,686.08","1,723.06","1,683.50","1.90%"
"May 06, 2020","1,685.89","1,707.51","1,709.34","1,682.28","-1.25%"
"May 05, 2020","1,707.17","1,700.82","1,712.90","1,691.45","0.32%"
"May 04, 2020","1,701.69","1,699.00","1,712.57","1,691.84","0.08%"
"May 01, 2020","1,700.41","1,685.95","1,706.53","1,670.06","0.91%"
"Apr 30, 2020","1,685.05","1,712.27","1,723.17","1,680.64","-1.60%"
"Apr 29, 2020","1,712.39","1,708.30","1,717.76","1,697.55","0.22%"
"Apr 28, 2020","1,708.64","1,715.31","1,716.04","1,691.63","-0.40%"
"Apr 27, 2020","1,715.57","1,726.15","1,727.93","1,705.68","-0.80%"
"Apr 24, 2020","1,729.43","1,731.57","1,737.44","1,710.21","-0.12%"
"Apr 23, 2020","1,731.58","1,713.56","1,739.74","1,706.26","0.98%"
"Apr 22, 2020","1,714.82","1,687.10","1,719.65","1,680.09","1.65%"
"Apr 21, 2020","1,687.02","1,694.11","1,698.60","1,661.39","-0.42%"
"Apr 20, 2020","1,694.11","1,692.25","1,703.46","1,671.49","0.56%"
"Apr 17, 2020","1,684.69","1,715.99","1,719.12","1,679.37","-1.96%"
"Apr 16, 2020","1,718.40","1,716.46","1,739.17","1,707.88","0.11%"
"Apr 15, 2020","1,716.60","1,728.80","1,732.27","1,707.71","-0.76%"
"Apr 14, 2020","1,729.70","1,712.34","1,747.85","1,708.55","0.90%"
"Apr 13, 2020","1,714.32","1,685.69","1,723.88","1,674.87","1.45%"
"Apr 10, 2020","1,689.90","1,676.00","1,697.50","1,676.00","0.35%"
"Apr 09, 2020","1,684.07","1,646.08","1,691.17","1,643.10","2.28%"
"Apr 08, 2020","1,646.52","1,647.59","1,657.69","1,641.94","-0.15%"
"Apr 07, 2020","1,648.95","1,663.03","1,673.55","1,641.89","-0.85%"
"Apr 06, 2020","1,663.00","1,597.50","1,669.97","1,597.50","2.75%"
"Apr 03, 2020","1,618.45","1,615.09","1,626.07","1,606.30","0.29%"
"Apr 02, 2020","1,613.79","1,590.52","1,621.15","1,579.04","1.18%"
"Apr 01, 2020","1,595.05","1,571.00","1,603.41","1,566.97","1.51%"
"Mar 31, 2020","1,571.31","1,618.49","1,626.27","1,566.23","-3.20%"
